,id,z,coverage,coverage_class
432,86f2fd7025,509,0.3145770022546809,4
2727,e7e9165d9b,225,0.0,0
1670,b33d57c4be,785,0.20850896970885208,3
807,22e7cc183f,512,0.046564062346828736,1
1324,7ab70da99b,127,0.0,0
4,4875705fb0,797,0.04283893735908245,1
539,b45f9383e9,198,0.5779825507303206,6
3762,f9d03271d6,585,0.2381139104009411,3
2949,61cfb43abf,412,0.0,0
3843,84242f42bc,756,0.0,0
2325,88839f49f9,618,0.12557592392902656,2
485,3501da04b2,271,0.0,0
2678,4ce60abe5f,807,0.02401725321046956,1
176,1c02222ef8,670,0.3054602489951965,4
1633,bd526ca9af,797,0.9501029310851876,10
3450,770af4e501,879,0.9044211351828252,10
3378,d62ad254c6,493,0.6154298598176651,7
1393,7f30236ca4,424,0.0,0
1638,49a90688bf,263,0.08116851289089305,1
877,4514686882,379,0.0,0
3333,8f16b2685d,519,0.8317811979217724,9
2652,5f98029612,193,0.9009900990099008,10
556,6b377327b1,399,0.5678855014214292,6
154,a774562f5e,282,0.0,0
3975,8329ec9395,625,0.7966865993530046,8
3795,ca84b9e8d4,323,0.0,0
1154,5f48c8c123,452,0.0,0
3759,570d1da727,740,0.0,0
3714,a317a82463,514,0.0,0
2719,6457057cec,675,0.036467013037937465,1
1012,5aca18a605,264,0.0,0
1947,734df57cdf,291,0.2487991373394765,3
3832,1724889841,424,0.9993137927654152,10
2259,164873b51f,162,0.0,0
3688,da94055b53,135,0.0,0
1847,871be86f43,552,0.9222625232820312,10
2903,565f9c3fce,687,0.0,0
3606,fbd61072f4,100,0.0,0
3221,b7ec14f5e4,546,0.2122340946965984,3
3176,20a0f53112,139,0.0,0
1858,e0b778dacd,548,0.9604940692089012,10
1591,380dea2a5a,369,0.0,0
2808,c5a9c13a77,638,0.013920203901578276,1
1405,8d89d465fc,529,0.7055190667581609,8
1226,c2973c16f1,869,0.6930693069306929,7
3397,81d37cb5fd,321,0.0018625624938731495,1
2255,9a71e8563b,184,0.0,0
1348,6c4568e51c,364,0.29722576218017843,3
1316,70c8e14243,544,0.5946475835702382,6
3810,1d0a131f99,540,0.0,0
1282,52914952d6,438,0.2694833839819625,3
3152,519cc2a871,195,0.007646309185373983,1
1585,d8aebd0f86,822,0.0,0
1950,c42abd17f3,448,0.0,0
2206,7f9f13c0d0,500,0.8762866385648466,9
3010,3782748f51,753,0.0,0
2781,70c7bb7616,856,0.0,0
3717,7b596fc561,329,0.4842662484070189,5
2349,26ae98fddb,264,0.0,0
3235,1f1cc6b3a4,745,0.0,0
3220,cced2adf43,459,0.6727771787079698,7
3856,d4033ae7f2,604,0.0,0
1369,930183efe5,489,0.5923929026566023,6
2637,eeca9d6a63,477,0.0,0
929,ee0be71990,194,0.0012743848642289973,1
2997,6b0688f33f,444,0.007646309185373983,1
2119,a5c4007b7b,326,0.0,0
489,ca78405cea,403,0.14577002254680912,2
1849,19b7d2e2bf,782,0.0,0
2053,b342a4959d,573,0.9378492304676012,10
3098,44c8aed146,430,0.0,0
2699,9daa6c133f,942,0.14194686795412215,2
3400,fdff017e77,382,0.01499852955592589,1
1897,ce31ab9b97,206,0.0,0
1046,de08c5a3b7,335,0.8694245662189981,9
2592,3c10a71f62,328,0.26595431820409765,3
1471,c38e2a42e3,618,0.3802568375649446,4
1899,9c298b9575,373,0.0,0
1489,73c6a1ede1,441,0.008234486815018136,1
2326,c56524ded9,316,0.6295461229291246,7
3162,ad93d35798,294,0.0,0
3029,52ae147d60,245,0.0,0
2919,4fbda008c7,332,0.4653465346534654,5
1860,697fee88c5,464,0.8434467209097147,9
504,aeba5383e4,352,0.7326732673267327,8
2834,df32c11fe8,766,0.0,0
2795,dfd3138198,373,0.0,0
2251,680ce5b666,281,0.032937947260072535,1
2558,87cf2c6542,670,0.07969806881678268,1
389,d17f801011,846,0.0,0
107,c72b546073,247,0.2579158905989609,3
2941,81fa3d59b8,857,0.7326732673267327,8
795,2a71003f75,436,0.3667287520831291,4
981,212ba67b51,279,0.4421135182825213,5
2497,9ecc1f5457,517,0.0,0
1795,5c33b65396,484,0.0057837466915008325,1
113,f057258486,263,0.0,0
2633,020678ec1b,174,0.460052935986668,5
3166,31aaa04c63,872,0.0,0
127,db548fd037,596,0.0,0
2203,1f33387a8e,778,0.28977551220468584,3
1922,4bc87727b5,305,0.6009214782864425,7
391,9ce55dc2c9,786,0.16321929222625234,2
1577,ceef85bdc0,520,0.04636800313694736,1
2175,e8d6412ed8,383,0.0,0
55,6c3a9009c8,759,0.0,0
1447,1cc428e57e,559,0.1252818351142045,2
1437,669cb42011,559,0.03989804921086168,1
3337,23cdfc53fe,541,0.4037839427507107,5
2067,1b5c4051d4,468,0.0,0
3657,7e67ef84e1,722,0.0,0
2951,da84ed2423,135,0.0,0
3934,6760543d8f,151,0.0,0
1720,e45c509f80,339,0.6735614155474954,7
2158,9522339a9a,337,0.0,0
3382,c8ce151a18,845,0.3746691500833252,4
2113,24d67576d0,557,0.0,0
744,f9ef613aec,836,0.04989706891481227,1
12,b45ad3932e,613,0.2836976766983629,3
2536,b7c462dd1c,707,0.7101264581903735,8
217,57e0cff707,289,0.11185177923732967,2
2006,35499d9dd6,657,0.0,0
69,127ef4105f,476,0.6752279188314871,7
3506,65cb9cbc05,619,0.01499852955592589,1
809,ec2664c4cf,833,0.0,0
309,3f22f2ef0e,695,0.0,0
2450,c98504a8ab,484,0.0008822664444662287,1
1541,57302cf4b6,783,0.0,0
3030,dc4bf302e8,273,0.935986667973728,10
1341,fa3e7cb3f5,430,0.0,0
670,2a6477aee8,290,0.25556318008038426,3
2942,08993551ae,719,0.42829134398588375,5
1104,95d3841a53,746,0.442211547887462,5
155,e92f67b3c7,301,0.4066268012939908,5
604,abcc448c24,734,0.8122733065385747,9
1579,ccc41663c6,713,0.8561905695520047,9
1159,08173ef66c,391,0.8950102931085188,9
3009,225ae42209,421,0.9996078815802372,10
3352,17c5d2464c,528,0.5779825507303206,6
905,dde0ee264b,580,0.602686011175375,7
1867,ac64f9de3c,758,0.08097245368101166,1
3344,fd423b9cbf,444,0.3984903440839133,4
2127,4d7b42314d,394,0.5680815606313107,6
1249,74d7a9df8b,234,0.2898735418096265,3
3319,9f97b2925e,669,0.05156357219880404,1
2990,bf71bff284,711,0.5895500441133222,6
2973,6a105e7555,303,0.7028722674247623,8
3982,fb44090bc7,842,0.0,0
1464,0115703825,781,0.05156357219880404,1
8,50d3073821,810,0.297029702970297,3
1769,2067c20654,397,0.0,0
2574,2eca5f70b1,406,0.2220370551906676,3
3219,57904adf94,583,0.2613469267718851,3
2819,b5448cb40a,676,0.18380550926379768,2
2717,085e7a048e,270,0.041858641309675516,1
2754,4a39459597,373,0.6842466424860307,7
203,4702cdd4f0,350,0.03930987158121753,1
824,53de66df2a,464,0.12381139104009413,2
131,47aba1e35c,530,0.26742476227820805,3
1802,a962f4c9b6,625,0.5873933928046271,6
1556,a1fe3de7bb,355,0.9941182237035584,10
2368,45a7562dbf,175,0.0,0
450,95bdc8b506,579,0.0,0
2443,c26d515fdb,174,0.0,0
3229,05a61e5799,167,0.5286736594451524,6
1790,7f0825a2f0,136,0.4554455445544554,5
1533,30ff4f38cf,452,0.9075580825409274,10
3899,6c40978ddf,393,0.0009802960494069211,1
3907,c09f4e95e8,635,0.1785119105970003,2
3074,ec649a86b2,484,0.4759337319870601,5
2396,70a32506ab,118,0.4618174688756004,5
2294,5d7424eab2,282,0.6887560043133026,7
1127,48db3b8c5f,712,0.6498382511518479,7
3655,4b9b8c2e44,557,0.9103029114792668,10
3917,f7d4d6fb0d,112,0.0,0
1796,2380664922,390,0.9789236349377513,10
1041,cb9d520cf9,589,0.07538476619939223,1
3453,a50ac7d1e2,513,0.5851387118909911,6
3416,9458b40464,223,0.0,0
3169,d21e3d7843,442,0.8746201352808548,9
2402,fad11bf2fa,371,0.601411626311146,7
1531,312c4ce754,304,0.0,0
411,0280db420c,433,0.8043329085383786,9
3673,f2c869e655,84,0.0,0
3980,5cada3d3f1,364,0.0,0
1470,a898892737,620,0.9441231251838056,10
3314,341f6694f1,620,0.04009410842074306,1
2511,c8bd99cbb0,448,0.6441525340652877,7
3895,a5d188bbd7,647,0.2319380452896775,3
2190,f0228a88de,701,0.0009802960494069211,1
1774,d2f131dba8,848,0.0,0
3323,cbad345488,446,0.1770414665228899,2
2441,e358121d19,371,0.4305460248995197,5
1933,f5c2e66754,790,0.3978041368493285,4
697,9b4aa94aed,676,0.0,0
496,61eb86f1ad,720,0.0,0
3299,ebc46e6691,760,0.0,0
2370,b6804bfa43,772,0.9171649838251152,10
564,5343d4837c,700,0.4255465150475444,5
252,6b996daecc,632,0.35516125870012744,4
2977,0762a99eb4,561,0.0,0
2091,dc710565e6,932,0.0,0
3466,4ef0559016,700,0.12871287128712872,2
2323,a3079aded1,489,0.623076169003039,7
1285,843447abe4,576,0.0,0
1275,b1e590d1c9,774,0.9883344770120576,10
1304,3822f73c1c,551,0.2550730320556808,3
987,60d3607be2,426,0.9887265954318204,10
3602,cba568b15f,526,0.08606999313792765,1
3206,423ae1a09c,199,0.0,0
2231,97e78a5448,694,0.15645524948534456,2
3490,5fa87fc4cd,397,0.0,0
1814,4989c6509e,735,0.0029408881482207625,1
3390,39a5b5f33a,464,0.0,0
705,24e98d224a,823,0.0,0
3834,5108785aaf,373,0.5789628467797274,6
2103,bc79fe1a3a,380,0.27948240368591315,3
2301,8cbefc189e,383,0.0002940888148220762,1
648,deaa0ab2b8,570,0.12194882854622095,2
3370,c1190c9c37,345,0.24105479854916184,3
2784,70e5bd9d27,709,0.9667679639251052,10
196,962348be7a,660,0.01499852955592589,1
3043,d70a2f1f23,270,0.06969904911283208,1
2373,5970137a1e,540,0.009214782864425057,1
2249,26281da345,527,0.3837859033428096,4
1048,dbcfdf17a3,328,0.12439956866973828,2
1228,96523f824a,752,0.4653465346534654,5
1553,a33fe0952a,876,0.0,0
3776,58d62862fa,573,0.0,0
1545,543f5887a2,491,0.999019703950593,10
2196,90990cd2ba,492,0.5462209587295364,6
2974,3dae882971,706,0.12479168708950104,2
2407,69098163e1,432,0.7537496323889815,8
3643,759b3aaa22,249,0.0,0
3054,74d53a0d53,369,0.3571218507989413,4
733,190febf6cd,586,0.09106950298990296,1
1292,49f22705ea,549,0.0,0
2665,ccdd1c542f,488,0.0006862072345848446,1
912,05c7033694,502,0.0,0
438,25143d7837,452,0.3068326634643662,4
2895,775bc235d0,526,0.966865993530046,10
3114,ee5c6d6639,872,0.0,0
372,335474f8ec,610,0.5331830212724242,6
1896,fbf5c91d9e,690,0.3905499460837173,4
2579,38438eab6c,428,0.5032839917655132,6
3704,527c3abd5f,408,0.4722086069993138,5
275,8c976149d0,648,0.0046073914322125285,1
460,39a05bf91f,749,0.013528085481815508,1
3391,00950d1627,922,0.8811881188118812,9
1693,f425a67987,554,0.9553965297519852,10
2929,7a817b12b4,389,0.0,0
3634,8201005b79,440,0.6369963729046172,7
1793,1eaf42beee,802,0.7623762376237624,8
532,d0cba16846,559,0.15302421331242036,2
3904,9ccf9ff1c3,781,0.0,0
679,3a3281b37d,387,0.3054602489951965,4
2018,2226df3ca1,745,0.33143809430448,4
3131,3662fffe30,829,0.5451426330751887,6
2300,91c003779c,314,0.0,0
820,07a81dccdc,630,0.1585138711890991,2
3770,8db0a68a4c,239,0.0384276051367513,1
499,38dfaadc68,301,0.0,0
3026,26a76b910c,443,0.01637094402509558,1
3401,1401f04c4b,743,0.006371924321144986,1
829,f41a025b6c,149,0.0,0
3410,cabe5c94b2,304,0.8099205960199979,9
2890,4e7d4502bc,399,0.0,0
173,7d8b219e1c,668,0.6523870208803059,7
672,0c0f001366,390,0.02411528281541025,1
2105,5c8ce5869b,454,0.07028722674247623,1
185,53dab98a36,574,0.6007254190765611,7
3663,f7933b266c,202,0.0,0
728,70c082d59e,248,0.08528575629840211,1
3938,ef406bff03,719,0.0,0
3033,7019c22c5e,737,0.09508871679247133,1
3239,4ee4b3485e,502,0.0,0
2908,17bb0d4b3e,816,0.948142338986374,10
399,1439570aec,529,0.0,0
3927,e185ab5dc1,687,0.4817174786785609,5
2702,cc876896b5,157,0.0,0
2876,28df927e87,340,0.8558964807371826,9
2129,397f00cf61,524,0.9919615723948632,10
557,71c0fd5516,571,0.0,0
1109,44f2ea3584,228,0.01637094402509558,1
1511,07fef26d18,614,0.0,0
160,2a070f3dc6,716,0.9532398784432898,10
2477,808cbefd71,112,0.0,0
168,db32e0961b,605,0.034016272914420165,1
760,afd0b385f2,291,0.0015684736790510733,1
867,7ed79f8f56,789,0.9676502303695717,10
3898,a149b73993,366,0.0,0
3902,289af097b0,284,0.507793353592785,6
1770,c93d0ecd1d,844,0.0,0
300,36f9ab3ee0,471,0.821390059798059,9
3089,a245c6d001,849,0.4242721301833154,5
1244,eed279a71a,339,0.0,0
3557,8c232a1cf8,735,0.4583864327026762,5
2471,ebe8198105,638,0.3593765317125772,4
1008,e7ee2c6dce,669,0.0,0
2998,df8d9625c0,342,0.2095872953631997,3
654,52aa9a9703,744,0.0,0
2434,33820f50d8,401,0.0,0
1177,47729d4ee5,456,0.0,0
2531,1804b11f9a,532,0.0,0
1199,7bf203a987,412,0.5685717086560141,6
2687,5ffd928d1e,389,0.2435055386726792,3
3580,c5327d784b,677,0.2965395549455936,3
1238,7d0b2f2046,489,0.004999509851975297,1
1767,f2c640742a,579,0.0,0
3808,3e87545802,754,0.1648857955102441,2
1862,1b2daa0f13,683,0.0,0
2664,1b6919f87c,655,0.5686697382609548,6
1610,e2ba31c4a5,804,0.0,0
2472,4fdc882e4b,955,0.6831683168316832,7
2122,2eae73b03a,726,0.0,0
448,a39388bd3f,372,0.0,0
2045,ed60e1c64a,471,0.0,0
972,618f843c7a,617,0.13577100284285853,2
3579,a90545f377,574,0.0,0
302,0249c49180,402,0.01744926967944319,1
2880,1fba03699e,183,0.04774041760611705,1
463,f87154ea7b,460,0.2155671012645819,3
3028,f9629f4e29,386,0.7907067934516224,8
913,3f5adbdcc7,625,0.0656798353102637,1
2154,619edf8941,625,0.0,0
3619,ccfb270edb,503,0.03234976963042839,1
1852,5800248c17,761,0.0,0
649,877f9dd0a7,262,0.0,0
2279,64f41e36f2,697,0.0,0
2613,ef060b82b1,823,0.3569257915890599,4
1069,72e1a1b225,327,0.2364474071169493,3
755,e7442307b1,835,0.12685030879325554,2
3620,b8b3f26ad4,122,0.0,0
1441,dce4c70a99,615,0.4101558670718557,5
2809,3fc4d6b6ed,671,0.0025487697284579947,1
903,14bba6af57,628,0.0,0
2930,c7ab9848b9,338,0.002450740123517302,1
3449,f2259e86f4,381,0.0,0
3081,8138c79081,676,0.0004901480247034606,1
3107,ec542d0719,83,0.0,0
3992,f139be21a4,715,0.0,0
2463,7b815ae7fb,569,0.2853641799823547,3
1724,87725b728a,444,0.3874129987256151,4
3550,a91212b01e,477,0.0,0
2713,a2b7af2907,214,0.0,0
324,cc6abe337d,187,0.0,0
2932,61df7e1f4d,457,0.0,0
46,eabe9337a9,540,0.9460837172826192,10
1501,5d6126f459,623,0.5801392020390158,6
138,9d462381b0,927,0.0,0
3063,5fe599e1a5,95,0.0,0
2798,d7215eb198,793,0.838251151847858,9
1884,60584b31d8,227,0.4303499656896383,5
766,356fa48ac4,550,0.0,0
1395,e3755d5769,228,0.0,0
3404,ec88937127,713,0.0,0
2601,10a1a5b78f,526,0.1179296147436526,2
475,a7f7a964f5,339,0.0,0
3518,edea91429d,649,0.2751691010685227,3
1772,0f5ada4dc3,700,0.20439172630134303,3
1200,24522ec665,298,0.8217821782178217,9
2016,bdb45f92c7,193,0.02715420056857171,1
164,75d70e2411,530,0.0,0
650,2a00ecc904,417,0.0421527301244976,1
1738,c47c5ea1c3,709,0.0,0
581,b04c03e3d4,347,0.0,0
2746,7de09d894b,297,0.8157043427114988,9
2039,e2a70ffdf6,891,0.8953043819233408,9
1936,ebe64e1d15,807,0.16263111459660815,2
3113,7187f4c02c,207,0.001176355259288305,1
2760,26527458de,587,0.0,0
204,baa743f4b4,438,0.1189099107930595,2
1935,7f1d5f223c,596,0.001176355259288305,1
3945,83967f4314,829,0.19929418684442698,2
1160,b9c2f9550a,664,0.0,0
2866,30e5cfec08,624,0.0002940888148220762,1
3782,6dba47cc58,692,0.362317419860798,4
2731,8b0478ed02,750,0.6565042642878149,7
641,3984ed8d4e,392,0.0,0
141,a076699b79,410,0.4297617880599941,5
2522,9ca520f895,784,0.4655425938633467,5
3347,76ba896225,556,0.0,0
3791,b9a7c521ac,811,0.28036467013037936,3
610,74ab2a9b1a,240,0.0,0
2971,1b073494ab,624,0.9638270757768846,10
1333,0c62ed4494,647,0.41839035388687373,5
3457,1cb4733828,522,0.8281541025389668,9
2487,8a55cca47a,645,0.5411234192726203,6
3798,84e305da04,502,0.7798255073032055,8
2358,56d025f76c,827,0.0,0
3036,b8c3ca0fab,81,0.0,0
2423,5717740aa6,458,0.0,0
1749,cbeab7807d,573,0.6984609352024311,7
3757,7ec839af45,81,0.0,0
377,3e1c11cfa8,613,0.5037741397902167,6
1384,26808abb2d,310,0.5680815606313107,6
634,80363d0458,315,0.0,0
2777,7738fbabca,785,0.8501127340456818,9
3374,e2d3957c95,579,0.8012939907852171,9
2117,a783bd82c5,698,0.0,0
169,3634f29aac,672,0.2367414959317714,3
414,8bc707feee,520,0.6993432016468973,7
1219,ceb69201df,549,0.9831389079502009,10
386,687dd94fee,813,0.0,0
476,89097ab99b,671,0.3883932947750221,4
1115,1abe5e8a3d,746,0.9909812763454564,10
1058,116bd22fd0,678,0.8737378688363886,9
22,d27831fef2,657,0.22870306832663465,3
800,c0565001a3,572,0.07244387805117146,1
1949,4c8132dc73,733,0.3456523870208803,4
2764,528cb6678c,329,0.21635133810410745,3
2617,70d9a282d1,733,0.5795510244093717,6
570,eeb18519bc,826,0.0,0
2073,ea1a6e1b33,666,0.32751691010685224,4
1924,5b28c5ba50,610,0.7198313890795021,8
548,9a4f625408,825,0.9981374375061268,10
988,b3ad13d9e9,131,0.18488383491814528,2
664,071c81c9ad,429,0.0,0
2692,182ea1798b,268,0.14047642388001175,2
3143,ff532274cd,380,0.992059601999804,10
2204,9d23bc70b8,724,0.0,0
2017,70cef9fcb6,770,0.0,0
247,e5a22d144d,520,0.0,0
638,e7da2d7800,118,0.0,0
3175,aba57f0f2c,793,0.03989804921086168,1
3600,2d7a83381c,100,0.0,0
3109,1925c11fce,149,0.0,0
1615,8650153427,481,0.0,0
477,7df431274e,594,0.0,0
2090,9678fb935e,538,0.595039701990001,6
375,20b26a6ea7,496,0.0,0
1202,5e0d2e6c25,687,0.0,0
1106,1ad819c49a,943,0.012743848642289972,1
1193,fa70e3da06,849,0.0,0
3562,f8921580bb,543,0.8690324477992354,9
1596,a00d2b180c,584,0.021958631506715027,1
3289,690281a93d,583,0.232722282129203,3
947,f992390442,651,0.19537300264679933,2
1550,bb455284f1,550,0.6083717282619351,7
2140,65eca0ad70,470,0.0,0
1898,fc6e9d0385,232,0.15292618370747965,2
2288,b6bd6424eb,368,0.0,0
225,78f17697f2,607,0.9987256151357711,10
214,40d96e8022,583,0.8531516517988432,9
1518,cbed0283ff,548,0.7429663758455053,8
1209,088a402727,255,0.0,0
1829,0ce8a6ae62,308,0.22252720321537106,3
3248,30bb4cd749,544,0.0,0
3639,f4feed1635,679,0.5110283305558279,6
2272,56974f6864,462,0.0,0
1520,4520536c03,402,0.35516125870012744,4
1445,e880e84886,661,0.9307910989118714,10
478,a24080b4a0,316,0.16076855210273502,2
210,4b2af55ae6,841,0.6769924517204196,7
2185,1ac4fd8022,835,0.17664934810312716,2
2750,42c563d895,505,0.9791196941476326,10
2650,d68c08baec,241,0.0016665032839917654,1
3577,c026a17632,588,0.11185177923732967,2
3420,923473085f,707,0.2688952063523184,3
1830,b5850af687,475,0.0,0
927,ceeaafc4fc,305,0.0,0
1636,5b2282b51e,577,0.040584256445446526,1
529,816c9d6d5d,666,0.003234976963042839,1
2071,6f5c2712b1,668,0.5609253994706401,6
3168,1c6237ae58,419,0.9068718753063424,10
3517,c33df3d7ad,648,0.8202137045387707,9
3446,403cb8f4b3,661,0.7227722772277227,8
3066,7053b28de2,92,0.0,0
3068,43ec939286,283,0.6778747181648858,7
70,42758bb41a,259,0.1447897264974022,2
1208,69013a70ab,473,0.7462993824134889,8
3868,d5afcea9a2,461,0.05175963140868543,1
2783,5ecf1f5cb4,273,0.6823840799921577,7
3140,fb903c3b68,646,0.043231055778845215,1
1461,a4a2921863,722,0.0,0
1799,6d17d3be2d,516,0.6111165572002745,7
541,44425dc49d,342,0.0,0
635,32273eef45,435,0.01882168414861288,1
3163,fb17f161d1,245,0.964317223801588,10
2432,5ad7172ca7,351,0.0,0
661,6752a6815f,135,0.0,0
132,51e82eaa5b,230,0.0,0
2771,51870e8500,159,0.0,0
1652,571b14e631,509,0.0,0
2428,3862950849,481,0.2081168512890893,3
2812,180f0a1854,320,0.1353788844230958,2
83,e667f4d290,298,0.0,0
374,638d8572e9,336,0.9216743456523872,10
2143,ec10996820,363,0.469267718851093,5
3245,e8b730fe92,343,0.04528967748259975,1
364,9ade7d33f2,831,0.0,0
1984,563191e71a,575,0.7548279580433291,8
753,66073ddce1,225,0.23487893343789826,3
3069,16017c8e02,90,0.0,0
3165,126f253739,725,0.00794039800019606,1
757,4680bc7373,683,0.0,0
922,2c707479f9,533,0.030585236741495925,1
3877,5d07e84138,489,0.10038231545926868,2
2359,500d909b87,702,0.29771591020488186,3
410,ea9dfe6f60,590,0.10126458190373493,2
1739,3507f73405,498,0.0,0
2198,b852505678,256,0.0,0
2726,6dfaae4996,424,0.2227232624252524,3
61,b2899a1188,739,0.0,0
925,052de39787,649,0.0006862072345848446,1
3774,6d69267940,614,0.0,0
0,575d24d81d,843,0.0,0
238,d800abe6a4,709,0.90226448387413,10
3473,e5b47aa145,577,0.0,0
